"","Text"
"0","Landing soon - see you in Latrobe, Pennsylvania. Speech will be broadcast on @FoxNews @OANN and @cspan at 6:45 P.M. Enjoy!"
"1","Volunteer to be a Trump Election Poll Watcher. Sign up today! #MakeAmericaGreatAgain"
"2","Thank you!!!"
"3","Joe Hiden’ gets off his airplane, grabs and shakes a rather stunned man’s hand (like in the old days), then touches his (Joe’s) face and mask with the same hand. No crowd, no enthusiasm for Joe today. Law & Order!"
"4","I’m going to Latrobe, Pennsylvania, the home of the late, great Arnold Palmer - There was nobody like him. I got to know Arnold well, played golf with him, and miss him. See you tonight in Latrobe!"
"5","...To the leaders of Iran, I would greatly appreciate if you would spare this young man’s life, and not execute him. Thank you! @UFC @DanaWhite @FoxNews"
"6","Hearing that Iran is looking to execute a great and popular wrestling star, 27-year-old Navid Afkarai, whose sole act was an anti-government demonstration on the streets. They were protesting the “country’s worsening economic situation and inflation”..."
"7","Nancy Pelosi says she got “set up” by a Beauty Parlor owner. Maybe the Beauty Parlor owner should be running the House of Representatives instead of Crazy Nancy?"
"8","Crazy Nancy Pelosi said she was “set up” by the beauty parlor owner when she improperly had the salon opened (and didn’t wear a MASK!). Does anyone want a Speaker of the House who can be so easily SET UP?"
"9","Do you notice that any time Fake News Suppression Polls are put out, like @FoxNews, the Stock Market goes DOWN. We are going to WIN!"
"10",".@FoxNews Polls are, as in the past, Fake News. They have been from the beginning, way off in 2016. Get a new pollster. I believe we are leading BIG!"
"11","....after you Vote, which it should not, that Ballot will not be used or counted in that your vote has already been cast & tabulated. YOU ARE NOW ASSURED THAT YOUR PRECIOUS VOTE HAS BEEN COUNTED, it hasn’t been “lost, thrown out, or in any way destroyed”. GOD BLESS AMERICA!!!"
"12",".....go to your Polling Place to see whether or not your Mail In Vote has been Tabulated (Counted). If it has you will not be able to Vote & the Mail In System worked properly. If it has not been Counted, VOTE (which is a citizen’s right to do). If your Mail In Ballot arrives...."
"13","Based on the massive number of Unsolicited & Solicited Ballots that will be sent to potential Voters for the upcoming 2020 Election, & in order for you to MAKE SURE YOUR VOTE COUNTS & IS COUNTED, SIGN & MAIL IN your Ballot as EARLY as possible. On Election Day, or Early Voting,.."
"14",".@NYGovCuomo should get his puppet New York prosecutors, who have been illegally after me and my family for years, to investigate his incompetent handling of the China Virus, and all of the deaths caused by this incompetence. It is at minimum a Nursing Home Scandal - 11,000 DEAD!"
"15","Sleepy Joe Hiden’ was acknowledged by his own people to have done a terrible job on a much easier situation, H1N1 Swine Flu. The OBiden Administration failed badly on this, & now he sits back in his basement and criticizes every move we make on the China Virus. DOING GREAT JOB!"
"16","Governors Andrew Cuomo of New York has the worst record on death and China Virus. 11,000 people alone died in Nursing Homes because of his incompetence!"
"17","Thank you Michele!"
"18","My Administration will do everything in its power to prevent weak mayors and lawless cities from taking Federal dollars while they let anarchists harm people, burn buildings, and ruin lives and businesses. We’re putting them on notice today. @RussVought45"
"19","https://twitter.com/whitehouse/status/1301219505583149056"
"20","Mayor Wheeler just got harassed out of his own home in Portland by so-called “friendly protesters”. The Anarchists, Agitators and Looters treat him HORRIBLY, even though he is so nice and respectful to them. Criminals only understand strength!"
"21","The Dow Jones Industrial just closed above 29,000! You are so lucky to have me as your President With Joe Hiden’ it would crash "
"22","THANK YOU NORTH CAROLINA!"
"23","Can you believe what’s happening!? They give Joe Hiden’ the questions, and he reads them an answer!"
